n,len,mean_v,frac_ge_1,frac_ge_2,frac_ge_3,frac_ge_4,frac_ge_5,frac_ge_6,frac_ge_7,frac_ge_8,frac_ge_9,frac_ge_10
1667533,24,2.458333,1.000000,0.666667,0.375000,0.250000,0.083333,0.041667,0.041667,0.000000,0.000000,0.000000
3865675,39,2.153846,1.000000,0.487179,0.256410,0.153846,0.102564,0.076923,0.076923,0.000000,0.000000,0.000000
2307527,20,2.650000,1.000000,0.850000,0.500000,0.250000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000
2757653,52,2.000000,1.000000,0.576923,0.230769,0.115385,0.057692,0.019231,0.000000,0.000000,0.000000,0.000000
6414569,84,1.857143,1.000000,0.488095,0.214286,0.119048,0.035714,0.000000,0.000000,0.000000,0.000000,0.000000
6110515,79,1.873418,1.000000,0.481013,0.227848,0.101266,0.050633,0.012658,0.000000,0.000000,0.000000,0.000000
1256699,194,1.690722,1.000000,0.417526,0.175258,0.072165,0.015464,0.005155,0.005155,0.000000,0.000000,0.000000
169601,40,2.025000,1.000000,0.500000,0.300000,0.125000,0.075000,0.025000,0.000000,0.000000,0.000000,0.000000
2326963,66,1.909091,1.000000,0.515152,0.242424,0.121212,0.030303,0.000000,0.000000,0.000000,0.000000,0.000000
4255681,56,1.982143,1.000000,0.535714,0.267857,0.125000,0.053571,0.000000,0.000000,0.000000,0.000000,0.000000
171787,76,1.815789,1.000000,0.447368,0.210526,0.092105,0.052632,0.013158,0.000000,0.000000,0.000000,0.000000
7532525,53,2.018868,1.000000,0.547170,0.301887,0.132075,0.037736,0.000000,0.000000,0.000000,0.000000,0.000000
7288141,24,2.541667,1.000000,0.583333,0.458333,0.208333,0.125000,0.041667,0.041667,0.041667,0.041667,0.000000
5869655,62,1.951613,1.000000,0.467742,0.241935,0.145161,0.064516,0.032258,0.000000,0.000000,0.000000,0.000000
5572541,64,1.937500,1.000000,0.531250,0.250000,0.109375,0.046875,0.000000,0.000000,0.000000,0.000000,0.000000
3763517,51,2.019608,1.000000,0.549020,0.254902,0.156863,0.039216,0.019608,0.000000,0.000000,0.000000,0.000000
